DesignName,ParticipantID,TrialID,Block1,Trial,VV,OC,visualSearchTime,ErrorCount
Preatt-exp,1,0,1,1,Shadow,Medium,2138,0
Preatt-exp,1,1,1,1,Shadow,Medium,1607,0
Preatt-exp,1,2,1,1,Shadow,Medium,2420,0
Preatt-exp,1,3,1,1,Shadow,Medium,1917,0
Preatt-exp,1,4,1,1,Shadow,Medium,2059,0
Preatt-exp,1,5,1,2,Shadow,Low,1841,0
Preatt-exp,1,6,1,2,Shadow,Low,1457,0
Preatt-exp,1,7,1,2,Shadow,Low,1542,0
Preatt-exp,1,8,1,2,Shadow,Low,1846,0
Preatt-exp,1,9,1,2,Shadow,Low,1918,0
Preatt-exp,1,10,1,3,Shadow,High,3089,0
Preatt-exp,1,11,1,3,Shadow,High,2532,0
Preatt-exp,1,12,1,3,Shadow,High,2184,0
Preatt-exp,1,13,1,3,Shadow,High,2296,0
Preatt-exp,1,14,1,3,Shadow,High,1821,0
Preatt-exp,1,15,2,1,Color,Medium,2174,0
Preatt-exp,1,16,2,1,Color,Medium,1904,0
Preatt-exp,1,17,2,1,Color,Medium,1911,0
Preatt-exp,1,18,2,1,Color,Medium,1894,0
Preatt-exp,1,19,2,1,Color,Medium,1848,0
Preatt-exp,1,20,2,2,Color,Low,1913,0
Preatt-exp,1,21,2,2,Color,Low,1811,0
Preatt-exp,1,22,2,2,Color,Low,1619,0
Preatt-exp,1,23,2,2,Color,Low,1707,0
Preatt-exp,1,24,2,2,Color,Low,1493,0
Preatt-exp,1,25,2,3,Color,High,1625,0
Preatt-exp,1,26,2,3,Color,High,2056,0
Preatt-exp,1,27,2,3,Color,High,1525,0
Preatt-exp,1,28,2,3,Color,High,1749,0
Preatt-exp,1,29,2,3,Color,High,1640,0
Preatt-exp,1,30,3,1,Both,Medium,5067,1
Preatt-exp,1,31,3,1,Both,Medium,1993,0
Preatt-exp,1,32,3,1,Both,Medium,2104,0
Preatt-exp,1,33,3,1,Both,Medium,6949,0
Preatt-exp,1,34,3,1,Both,Medium,3192,0
Preatt-exp,1,35,3,2,Both,Low,2934,0
Preatt-exp,1,36,3,2,Both,Low,2616,0
Preatt-exp,1,37,3,2,Both,Low,1967,1
Preatt-exp,1,38,3,2,Both,Low,3514,2
Preatt-exp,1,39,3,2,Both,Low,2213,0
Preatt-exp,1,40,3,3,Both,High,2928,0
Preatt-exp,1,41,3,3,Both,High,1904,0
Preatt-exp,1,42,3,3,Both,High,5485,0
Preatt-exp,1,43,3,3,Both,High,4798,0
Preatt-exp,1,44,3,3,Both,High,4881,0
Preatt-exp,1,44,3,3,Both,High,3980,1
Preatt-exp,2,45,1,1,Both,High,4989,0
Preatt-exp,2,46,1,1,Both,High,5503,0
Preatt-exp,2,47,1,1,Both,High,3735,0
Preatt-exp,2,48,1,1,Both,High,5081,0
Preatt-exp,2,49,1,1,Both,High,3903,0
Preatt-exp,2,50,1,2,Both,Medium,2040,0
Preatt-exp,2,51,1,2,Both,Medium,2618,0
Preatt-exp,2,52,1,2,Both,Medium,2349,0
Preatt-exp,2,53,1,2,Both,Medium,2172,0
Preatt-exp,2,54,1,2,Both,Medium,2580,0
Preatt-exp,2,55,1,3,Both,Low,3147,0
Preatt-exp,2,56,1,3,Both,Low,2747,1
Preatt-exp,2,57,1,3,Both,Low,2272,0
Preatt-exp,2,58,1,3,Both,Low,2721,0
Preatt-exp,2,59,1,3,Both,Low,2245,0
Preatt-exp,2,60,2,1,Shadow,High,3049,0
Preatt-exp,2,61,2,1,Shadow,High,1673,0
Preatt-exp,2,62,2,1,Shadow,High,2691,0
Preatt-exp,2,63,2,1,Shadow,High,1710,0
Preatt-exp,2,64,2,1,Shadow,High,1854,0
Preatt-exp,2,65,2,2,Shadow,Medium,1656,0
Preatt-exp,2,66,2,2,Shadow,Medium,1834,0
Preatt-exp,2,67,2,2,Shadow,Medium,1546,0
Preatt-exp,2,68,2,2,Shadow,Medium,1938,0
Preatt-exp,2,69,2,2,Shadow,Medium,1468,0
Preatt-exp,2,70,2,3,Shadow,Low,1540,0
Preatt-exp,2,71,2,3,Shadow,Low,1256,0
Preatt-exp,2,72,2,3,Shadow,Low,1411,0
Preatt-exp,2,73,2,3,Shadow,Low,1824,0
Preatt-exp,2,74,2,3,Shadow,Low,1611,0
Preatt-exp,2,75,3,1,Color,High,1394,1
Preatt-exp,2,76,3,1,Color,High,2140,0
Preatt-exp,2,77,3,1,Color,High,42097,0
Preatt-exp,2,78,3,1,Color,High,1796,0
Preatt-exp,2,79,3,1,Color,High,2081,0
Preatt-exp,2,80,3,2,Color,Medium,1563,0
Preatt-exp,2,81,3,2,Color,Medium,1908,0
Preatt-exp,2,82,3,2,Color,Medium,1483,0
Preatt-exp,2,83,3,2,Color,Medium,1488,0
